utterance,referenceTimestamp,intent,slot[question]
how many hours of sleep do you need,,AskingQuestionIntent,how many hours of sleep do you need
artificial intelligence,,AskingQuestionIntent,artificial intelligence
how much is a monthly subscription,,AskingQuestionIntent,how much is a monthly subscription
hey wait,,AskingQuestionIntent,hey wait
tell me about why cats purr,,AskingQuestionIntent,tell me about why cats purr
what did you just say,,AskingQuestionIntent,what did you just say
what's the best a. i.,,AskingQuestionIntent,what's the best a. i.
jarvis can you sing a song,,AskingQuestionIntent,jarvis can you sing a song
what did you say,,AskingQuestionIntent,what did you say
die,,AskingQuestionIntent,die
glacius,,AskingQuestionIntent,glacius
can you tell me a story on macbook,,AskingQuestionIntent,can you tell me a story on macbook
jarvis who,,AskingQuestionIntent,jarvis who
nothing right now,,AskingQuestionIntent,nothing right now
could you help me write a resume,,AskingQuestionIntent,could you help me write a resume
tell me what is mango,,AskingQuestionIntent,tell me what is mango
what is two plus two,,AskingQuestionIntent,what is two plus two
what is a dolphin,,AskingQuestionIntent,what is a dolphin
how many times,,AskingQuestionIntent,how many times
can you never mind,,AskingQuestionIntent,can you never mind
what's the time,,AskingQuestionIntent,what's the time
i don't care about what stuff,,AskingQuestionIntent,i don't care about what stuff
sing a song about,,AskingQuestionIntent,sing a song about
does it make sense to take,,AskingQuestionIntent,does it make sense to take
nothing goodbye,,AskingQuestionIntent,nothing goodbye
speak spanish,,AskingQuestionIntent,speak spanish
say me the date of,,AskingQuestionIntent,say me the date of
jonathan,,AskingQuestionIntent,jonathan
softly,,AskingQuestionIntent,softly
concrete,,AskingQuestionIntent,concrete
what is the best iphone,,AskingQuestionIntent,what is the best iphone
what is the longest word in any language,,AskingQuestionIntent,what is the longest word in any language
skip,,AskingQuestionIntent,skip
jarvis what day is it,,AskingQuestionIntent,jarvis what day is it
what is that,,AskingQuestionIntent,what is that
what is the capital of the u. k.,,AskingQuestionIntent,what is the capital of the u. k.
how old is joe biden,,AskingQuestionIntent,how old is joe biden
anti certifications,,AskingQuestionIntent,anti certifications
what's my name,,AskingQuestionIntent,what's my name
is it easy to file,,AskingQuestionIntent,is it easy to file
is it,,AskingQuestionIntent,is it
what is your favorite thing to do,,AskingQuestionIntent,what is your favorite thing to do
jarvis jarvis,,AskingQuestionIntent,jarvis jarvis
standby,,AskingQuestionIntent,standby
you can stop now,,AskingQuestionIntent,you can stop now
i feel lonely,,AskingQuestionIntent,i feel lonely
why do birds suddenly appear,,AskingQuestionIntent,why do birds suddenly appear
done,,AskingQuestionIntent,done
i don't get the joke,,AskingQuestionIntent,i don't get the joke
how do you grow corn,,AskingQuestionIntent,how do you grow corn
jarvis is god real,,AskingQuestionIntent,jarvis is god real
jarvis huawei,,AskingQuestionIntent,jarvis huawei
sometimes,,AskingQuestionIntent,sometimes
search for me on the tv,,AskingQuestionIntent,search for me on the tv
continue reading my book,,AskingQuestionIntent,continue reading my book
what's the weather like in kansas city today,,AskingQuestionIntent,what's the weather like in kansas city today
official,,AskingQuestionIntent,official
how about that,,AskingQuestionIntent,how about that
frenzy,,AskingQuestionIntent,frenzy
how many pages are in lord of the rings,,AskingQuestionIntent,how many pages are in lord of the rings
what is the date,,AskingQuestionIntent,what is the date
what is the weather in manila philippines,,AskingQuestionIntent,what is the weather in manila philippines
why sky is blue,,AskingQuestionIntent,why sky is blue
this,,AskingQuestionIntent,this
can dogs,,AskingQuestionIntent,can dogs
draw a triangle,,AskingQuestionIntent,draw a triangle
what is the capital of minnesota,,AskingQuestionIntent,what is the capital of minnesota
wait a minute,,AskingQuestionIntent,wait a minute
