utterance,referenceTimestamp,intent,slot[question],slot[monthly_or_yearly]
are you there,,AskingQuestionIntent,are you there,
nudity,,AskingQuestionIntent,nudity,
Jarvis what happened to donald trump,,AskingQuestionIntent,Jarvis what happened to Donald trump,
can you make up a zenfone,,AskingQuestionIntent,can you make up a zenfone,
search x. x. x.,,AskingQuestionIntent,search x. x. x.,
Jarvis right me,,AskingQuestionIntent,Jarvis right me,
how do I make money,,AskingQuestionIntent,how do I make money,
show me a picture of a blue whale,,AskingQuestionIntent,show me a picture of a blue whale,
what are some good,,AskingQuestionIntent,what are some good,
french,,AskingQuestionIntent,french,
how many blades of grass are there in the world,,AskingQuestionIntent,how many blades of grass are there in the world,
what is answers,,AskingQuestionIntent,what is answers,
what are you,,AskingQuestionIntent,what are you,
program,,AskingQuestionIntent,program,
you are a,,AskingQuestionIntent,you are a,
sydney,,AskingQuestionIntent,sydney,
what is nine plus ten,,AskingQuestionIntent,what is 9 plus 10,
Jarvis stupid,,AskingQuestionIntent,Jarvis stupid,
call my phone,,AskingQuestionIntent,call my phone,
baseball,,AskingQuestionIntent,baseball,
search how to build a nuclear reactor,,AskingQuestionIntent,search how to build a nuclear reactor,
dog,,AskingQuestionIntent,dog,
genesis,,AskingQuestionIntent,genesis,
who is the president,,AskingQuestionIntent,who is the president,
teach me how to code,,AskingQuestionIntent,teach me how to code,
Jarvis what is amazon,,AskingQuestionIntent,Jarvis what is amazon,
accent,,AskingQuestionIntent,accent,
do they have any,,AskingQuestionIntent,do they have any,
when was the last,,AskingQuestionIntent,when was the last,
who is the president of,,AskingQuestionIntent,who is the president of,
let's do it,,AskingQuestionIntent,let's do it,
konichiwa,,AskingQuestionIntent,konichiwa,
childish,,AskingQuestionIntent,childish,
how do you,,AskingQuestionIntent,how do you,
how far is it from the earth to the moon,,AskingQuestionIntent,how far is it from the earth to the moon,
how do I make money,,AskingQuestionIntent,how do I make money,
can you,,AskingQuestionIntent,can you,
play the weather,,AskingQuestionIntent,play the weather,
on,,AskingQuestionIntent,on,
can you create a list,,AskingQuestionIntent,can you create a list,
what is the best laptop,,AskingQuestionIntent,what is the best laptop,
python,,AskingQuestionIntent,python,
generate,,AskingQuestionIntent,generate,
you don't listen to me,,AskingQuestionIntent,you don't listen to me,
repeat that,,AskingQuestionIntent,repeat that,
turn on do not disturb,,AskingQuestionIntent,turn on do not disturb,
how much is the monthly subscription,,AskingQuestionIntent,how much is the monthly subscription,
sometime,,AskingQuestionIntent,sometime,
easy,,AskingQuestionIntent,easy,
charlie,,AskingQuestionIntent,charlie,
how to,,AskingQuestionIntent,how to,
how many moons are there,,AskingQuestionIntent,how many moons are there,
are you connected to the internet,,AskingQuestionIntent,are you connected to the internet,
bravo,,AskingQuestionIntent,bravo,
caroline,,AskingQuestionIntent,caroline,
tell me who is the president of slovenia,,AskingQuestionIntent,tell me who is the president of slovenia,
i'm sorry,,AskingQuestionIntent,i'm sorry,
bad,,AskingQuestionIntent,bad,
what is ten times ten,,AskingQuestionIntent,what is ten times ten,
what is a black,,AskingQuestionIntent,what is a black,
what is the longest river in the world,,AskingQuestionIntent,what is the longest river in the world,
how far is it to the moon,,AskingQuestionIntent,how far is it to the moon,
are pickles healthy,,AskingQuestionIntent,are pickles healthy,
switch off,,AMAZON.StopIntent,,
repeat the answer of my last question,,AskingQuestionIntent,repeat the answer of my last question,
recommendation,,AskingQuestionIntent,recommendation,
write me a love song,,AskingQuestionIntent,write me a love song,
alien,,AskingQuestionIntent,alien,
why did,,AskingQuestionIntent,why did,
what is the boiling point of water,,AskingQuestionIntent,what is the boiling point of water,
apple,,AskingQuestionIntent,apple,
rechargeable,,AskingQuestionIntent,rechargeable,
how do you work,,AskingQuestionIntent,how do you work,
what's there to do in jamaica,,AskingQuestionIntent,what's there to do in jamaica,
disable,,AskingQuestionIntent,disable,
where I am now,,AskingQuestionIntent,where I am now,
not at the moment thank you,,AMAZON.StopIntent,,
what is the world record for the pyramids cube,,AskingQuestionIntent,what is the world record for the pyramids cube,
create a,,AskingQuestionIntent,create a,
proceed,,AskingQuestionIntent,proceed,
the weather,,AskingQuestionIntent,the weather,
how far is paris,,AskingQuestionIntent,how far is paris,
what happens to us after we die,,AskingQuestionIntent,what happens to us after we die,
service,,AskingQuestionIntent,service,
draw me a picture,,AskingQuestionIntent,draw me a picture,
i guess that's it for now,,AskingQuestionIntent,i guess that's it for now,
close Jarvis,,AskingQuestionIntent,close Jarvis,
what should I eat for dinner,,AskingQuestionIntent,what should I eat for dinner,
life,,AskingQuestionIntent,life,
jackass,,AskingQuestionIntent,jackass,
how many people talk this avatar,,AskingQuestionIntent,how many people talk this avatar,
make a poem about shoes,,AskingQuestionIntent,make a poem about shoes,
a. m. c. theater,,AskingQuestionIntent,a. m. c. theater,
today,,AskingQuestionIntent,today,
jay's,,AskingQuestionIntent,jay's,
rebel,,AskingQuestionIntent,rebel,
continue the,,AskingQuestionIntent,continue the,
what is tantan,,AskingQuestionIntent,what is tantan,
what's up,,AskingQuestionIntent,what's up,
raccoons,,AskingQuestionIntent,raccoons,
fucking,,AskingQuestionIntent,fucking,
raise volume to five,,AskingQuestionIntent,raise volume to 5,
tell me about among us,,AskingQuestionIntent,tell me about among us,
nope,,AskingQuestionIntent,nope,
how to build a nuclear reactor,,AskingQuestionIntent,how to build a nuclear reactor,
weather,,AskingQuestionIntent,weather,
how many eyes do you have,,AskingQuestionIntent,how many eyes do you have,
who is the best soccer player,,AskingQuestionIntent,who is the best soccer player,
why,,AskingQuestionIntent,why,
tired,,AskingQuestionIntent,tired,
what can you do,,AskingQuestionIntent,what can you do,
tell me something interesting,,AskingQuestionIntent,tell me something interesting,
velvet,,AskingQuestionIntent,velvet,
what's the weather today,,AskingQuestionIntent,what's the weather today,
what can I do,,AskingQuestionIntent,what can I do,
tell me about the,,AskingQuestionIntent,tell me about the,
hi how are you,,AskingQuestionIntent,hi how are you,
go back to home,,AMAZON.NavigateHomeIntent,,
search what is amazon,,AskingQuestionIntent,search what is amazon,
talk to the,,AskingQuestionIntent,talk to the,
pizza,,AskingQuestionIntent,pizza,
mosley,,AskingQuestionIntent,mosley,
what is the weather,,AskingQuestionIntent,what is the weather,
how can I take it off my betta fish,,AskingQuestionIntent,how can I take it off my betta fish,
make a song about a gummy bear,,AskingQuestionIntent,make a song about a gummy bear,
what is the capital of the united kingdom,,AskingQuestionIntent,what is the capital of the united kingdom,
what's the weather today in panama city,,AskingQuestionIntent,what's the weather today in panama city,
turn it up to five,,AskingQuestionIntent,turn it up to 5,
pussy,,AskingQuestionIntent,pussy,
what time,,AskingQuestionIntent,what time,
what do you mean,,AskingQuestionIntent,what do you mean,
tell me tomorrow,,AskingQuestionIntent,tell me tomorrow,
write a poem about love and sadness,,AskingQuestionIntent,write a poem about love and sadness,
what is the learning,,AskingQuestionIntent,what is the learning,
your question,,AskingQuestionIntent,your question,
can you set alarm,,AskingQuestionIntent,can you set alarm,
tell me what is politics,,AskingQuestionIntent,tell me what is politics,
write a poem about super mario,,AskingQuestionIntent,write a poem about super mario,
surprise me,,AskingQuestionIntent,surprise me,
what else,,AskingQuestionIntent,what else,
enough,,AMAZON.StopIntent,,
could you repeat that,,AskingQuestionIntent,could you repeat that,
meeting,,AskingQuestionIntent,meeting,
donald trump,,AskingQuestionIntent,Donald trump,
turn down,,AskingQuestionIntent,turn down,
what's the biggest animal in the whole world,,AskingQuestionIntent,what's the biggest animal in the whole world,
what is the price of bitcoin today,,AskingQuestionIntent,what is the price of bitcoin today,
how do I use you,,AskingQuestionIntent,how do I use you,
and it's not a lot,,AskingQuestionIntent,and it's not a lot,
can I put my,,AskingQuestionIntent,can I put my,
how do I get free money,,AskingQuestionIntent,how do I get free money,
spider man,,AskingQuestionIntent,spider man,
joe biden,,AskingQuestionIntent,joe Biden,
what is existentialism,,AskingQuestionIntent,what is existentialism,
is george,,AskingQuestionIntent,is george,
living room,,AskingQuestionIntent,living room,
what's the weather like today,,AskingQuestionIntent,what's the weather like today,
why are you yelling at me,,AskingQuestionIntent,why are you yelling at me,
are you doing,,AskingQuestionIntent,are you doing,
what is the meaning,,AskingQuestionIntent,what is the meaning,
get up,,AskingQuestionIntent,get up,
looking for,,AskingQuestionIntent,looking for,
nine thirty,,AskingQuestionIntent,930,
i would like to,,AskingQuestionIntent,i would like to,
how much does that cost,,AskingQuestionIntent,how much does that cost,
puppies,,AskingQuestionIntent,puppies,
morning,,AskingQuestionIntent,morning,
who won the super bowl,,AskingQuestionIntent,who won the super bowl,
how do I make a bomb,,AskingQuestionIntent,how do I make a bomb,
don't,,AskingQuestionIntent,don't,
make me a video game,,AskingQuestionIntent,make me a video game,
tigers,,AskingQuestionIntent,tigers,
add,,AskingQuestionIntent,add,
can you change your voice to a male,,AskingQuestionIntent,can you change your voice to a male,
the security plus,,AskingQuestionIntent,the security plus,
i do,,AskingQuestionIntent,i do,
cats,,AskingQuestionIntent,cats,
how many miles is it to the moon,,AskingQuestionIntent,how many miles is it to the moon,
ceiling,,AskingQuestionIntent,ceiling,
turn on lamp,,AskingQuestionIntent,turn on lamp,
yourself,,AskingQuestionIntent,yourself,
delete this app,,AskingQuestionIntent,delete this app,
Jarvis what's the weather today,,AskingQuestionIntent,Jarvis what's the weather today,
b. t. s.,,AskingQuestionIntent,b. t. s.,
how to connect to the internet,,AskingQuestionIntent,how to connect to the internet,
remove,,AskingQuestionIntent,remove,
unlock it,,AskingQuestionIntent,unlock it,
how are you feeling today,,AskingQuestionIntent,how are you feeling today,
you suck,,AskingQuestionIntent,you suck,
please stop,,AMAZON.StopIntent,,
ha-ha ha ha,,AskingQuestionIntent,ha-ha ha ha,
tile,,AskingQuestionIntent,tile,
suggest,,AskingQuestionIntent,suggest,
happy birthday,,AskingQuestionIntent,happy birthday,
get out,,AskingQuestionIntent,get out,
love,,AskingQuestionIntent,love,
tell me about quantum physics,,AskingQuestionIntent,tell me about quantum physics,
i would like to know,,AskingQuestionIntent,i would like to know,
smart tv,,AskingQuestionIntent,smart TV,
what the heck,,AskingQuestionIntent,what the heck,
that's enough thank you,,AMAZON.StopIntent,,
lick my balls,,AskingQuestionIntent,lick my balls,
show me a picture of a,,AskingQuestionIntent,show me a picture of a,
special,,AskingQuestionIntent,special,
anime,,AskingQuestionIntent,anime,
Jarvis what is the weather outside in this illinois,,AskingQuestionIntent,Jarvis what is the weather outside in this illinois,
automation,,AskingQuestionIntent,automation,
better,,AskingQuestionIntent,better,
really,,AskingQuestionIntent,really,
what version are you,,AskingQuestionIntent,what version are you,
it's ok never mind,,AskingQuestionIntent,it's ok never mind,
basement service,,AskingQuestionIntent,basement service,
what are the meaning of life,,AskingQuestionIntent,what are the meaning of life,
set timer for nine minutes,,AskingQuestionIntent,set timer for 9 minutes,
can you tell me about,,AskingQuestionIntent,can you tell me about,
are you connected to the internet,,AskingQuestionIntent,are you connected to the internet,
what do you want,,AskingQuestionIntent,what do you want,
spaghetti carbonara,,AskingQuestionIntent,spaghetti carbonara,
sex,,AskingQuestionIntent,sex,
bye-bye love you,,AskingQuestionIntent,bye-bye love you,
what is the most popular movie in the world,,AskingQuestionIntent,what is the most popular movie in the world,
i want to,,AskingQuestionIntent,i want to,
why is sky blue,,AskingQuestionIntent,why is sky blue,
Jarvis what is apple,,AskingQuestionIntent,Jarvis what is apple,
what's your favorite thing to do,,AskingQuestionIntent,what's your favorite thing to do,
generate an image of arvo part,,AskingQuestionIntent,generate an image of arvo part,
unlock,,AskingQuestionIntent,unlock,
up,,AskingQuestionIntent,up,
kick your ass,,AskingQuestionIntent,kick your ass,
starbucks,,AskingQuestionIntent,starbucks,
how can I find microsoft office,,AskingQuestionIntent,how can I find microsoft office,
why is my husband so dumb,,AskingQuestionIntent,why is my husband so dumb,
what should I do in seattle,,AskingQuestionIntent,what should I do in seattle,
what's the weather outside,,AskingQuestionIntent,what's the weather outside,
joseph,,AskingQuestionIntent,joseph,
what time is it now,,AskingQuestionIntent,what time is it now,
what are you doing,,AskingQuestionIntent,what are you doing,
could you repeat that,,AskingQuestionIntent,could you repeat that,
go to the home screen,,AMAZON.NavigateHomeIntent,,
i mean,,AskingQuestionIntent,i mean,
what's the date,,AskingQuestionIntent,what's the date,
chat,,AskingQuestionIntent,chat,
what is the temperature today,,AskingQuestionIntent,what is the temperature today,
wake me up,,AskingQuestionIntent,wake me up,
what are,,AskingQuestionIntent,what are,
religion,,AskingQuestionIntent,religion,
be quiet,,AMAZON.StopIntent,,
explain to me what is,,AskingQuestionIntent,explain to me what is,
para,,AskingQuestionIntent,para,
what's the circumference of the earth,,AskingQuestionIntent,what's the circumference of the earth,
computer,,AskingQuestionIntent,computer,
football,,AskingQuestionIntent,football,
what's a black hole,,AskingQuestionIntent,what's a black hole,
baboons,,AskingQuestionIntent,baboons,
compare,,AskingQuestionIntent,compare,
silicon valley,,AskingQuestionIntent,silicon valley,
let's chat,,AskingQuestionIntent,let's chat,
documentaries,,AskingQuestionIntent,documentaries,
announce,,AskingQuestionIntent,announce,
i love you,,AskingQuestionIntent,i love you,
javascript,,AskingQuestionIntent,javascript,
call my mom,,AskingQuestionIntent,call my mom,
again,,AskingQuestionIntent,again,
does the color of the car,,AskingQuestionIntent,does the color of the car,
what is the difference between a,,AskingQuestionIntent,what is the difference between a,
leave,,AskingQuestionIntent,leave,
maybe later thank you,,AMAZON.StopIntent,,
chavez close,,AskingQuestionIntent,chavez close,
volume up by three,,AskingQuestionIntent,volume up by 3,
tell me a funny joke,,AskingQuestionIntent,tell me a funny joke,
i meant,,AskingQuestionIntent,i meant,
goldendoodles,,AskingQuestionIntent,goldendoodles,
do you think,,AskingQuestionIntent,do you think,
go to home screen,,AMAZON.NavigateHomeIntent,,
open amazon,,AskingQuestionIntent,open amazon,
who are you,,AskingQuestionIntent,who are you,
fifty percent volume,,AskingQuestionIntent,fifty percent volume,
show me pictures of naked women,,AskingQuestionIntent,show me pictures of naked women,show me pictures of naked women
just shut up,,AMAZON.StopIntent,,
youtube,,AskingQuestionIntent,YouTube,
tell me about trump,,AskingQuestionIntent,tell me about trump,
resume music,,AskingQuestionIntent,resume music,
chihuahua,,AskingQuestionIntent,chihuahua,
what would you like to do today,,AskingQuestionIntent,what would you like to do today,
how is the weather in seattle,,AskingQuestionIntent,how is the weather in seattle,
tell me about black hole,,AskingQuestionIntent,tell me about black hole,
what is the most lucrative,,AskingQuestionIntent,what is the most lucrative,
roblox,,AskingQuestionIntent,roblox,
do I love madison,,AskingQuestionIntent,do I love madison,
perfume,,AskingQuestionIntent,perfume,
describe a black hole,,AskingQuestionIntent,describe a black hole,
can you tell me why the sky is blue,,AskingQuestionIntent,can you tell me why the sky is blue,
how many more seconds do I have,,AskingQuestionIntent,how many more seconds do I have,
jailbreak,,AskingQuestionIntent,jailbreak,
rosh hashanah,,AskingQuestionIntent,rosh hashanah,
three,,AskingQuestionIntent,3,
he's a stinky butt,,AskingQuestionIntent,he's a stinky butt,
how much is macbook,,AskingQuestionIntent,how much is Macbook,
volume eight,,AskingQuestionIntent,volume 8,
what's the difference between marmalade and jam,,AskingQuestionIntent,what's the difference between marmalade and jam,
wait,,AskingQuestionIntent,wait,
where are you now,,AskingQuestionIntent,where are you now,
speaking,,AskingQuestionIntent,speaking,
what is the most popular,,AskingQuestionIntent,what is the most popular,
space,,AskingQuestionIntent,space,
hi,,AskingQuestionIntent,hi,
tell me the circumference of nine,,AskingQuestionIntent,tell me the circumference of 9,
why is the sky blue,,AskingQuestionIntent,why is the sky blue,
lonely,,AskingQuestionIntent,lonely,
tell me a story,,AskingQuestionIntent,tell me a story,
just shut up and go away,,ExitAppIntent,,
what's the population of the united states,,AskingQuestionIntent,what's the population of the united states,
star trek,,AskingQuestionIntent,star trek,
ten minutes,,AskingQuestionIntent,ten minutes,
Jarvis off,,AskingQuestionIntent,Jarvis off,
turn up the volume to fifty percent,,AskingQuestionIntent,turn up the volume to fifty percent,
price,,AskingQuestionIntent,price,
hey siri,,AskingQuestionIntent,hey siri,
write me a poem,,AskingQuestionIntent,write me a poem,
what is my name,,AskingQuestionIntent,what is my name,
can you repeat,,AskingQuestionIntent,can you repeat,
how far away is the moon,,AskingQuestionIntent,how far away is the moon,
that's it for now,,AskingQuestionIntent,that's it for now,
i don't know how do I say,,AskingQuestionIntent,i don't know how do I say,
volume up two,,AskingQuestionIntent,volume up 2,
who is donald trump,,AskingQuestionIntent,who is Donald trump,
survey responses,,AskingQuestionIntent,survey responses,
design,,AskingQuestionIntent,design,
tacos,,AskingQuestionIntent,tacos,
ramadan,,AskingQuestionIntent,Ramadan,
abortion,,AskingQuestionIntent,abortion,
what's your favorite color,,AskingQuestionIntent,what's your favorite color,
british moment,,AskingQuestionIntent,british moment,
write me an essay,,AskingQuestionIntent,write me an essay,
how many hours of sleep do you need,,AskingQuestionIntent,how many hours of sleep do you need,
babies,,AskingQuestionIntent,babies,
artificial intelligence,,AskingQuestionIntent,artificial intelligence,
how much is a monthly subscription,,AskingQuestionIntent,how much is a monthly subscription,
turn off the tv,,AskingQuestionIntent,turn off the TV,
hey wait,,AskingQuestionIntent,hey wait,
tell me about why cats purr,,AskingQuestionIntent,tell me about why cats purr,
what did you just say,,AskingQuestionIntent,what did you just say,
how do I cook rice,,AskingQuestionIntent,how do I cook rice,
what's the best a. i.,,AskingQuestionIntent,what's the best a. i.,
charizard,,AskingQuestionIntent,charizard,
Jarvis can you sing a song,,AskingQuestionIntent,Jarvis can you sing a song,
what did you say,,AskingQuestionIntent,what did you say,
die,,AskingQuestionIntent,die,
how's the weather outside,,AskingQuestionIntent,how's the weather outside,
glacius,,AskingQuestionIntent,glacius,
can you tell me a story on macbook,,AskingQuestionIntent,can you tell me a story on Macbook,
Jarvis who,,AskingQuestionIntent,Jarvis who,
javed,,AskingQuestionIntent,javed,
nothing right now,,AskingQuestionIntent,nothing right now,
could you help me write a resume,,AskingQuestionIntent,could you help me write a resume,
can you write me something about art,,AskingQuestionIntent,can you write me something about art,
tell me what is mango,,AskingQuestionIntent,tell me what is mango,
what is two plus two,,AskingQuestionIntent,what is 2 plus 2,
what is a dolphin,,AskingQuestionIntent,what is a dolphin,
how many times,,AskingQuestionIntent,how many times,
can you never mind,,AskingQuestionIntent,can you never mind,
what's the time,,AskingQuestionIntent,what's the time,
i don't care about what stuff,,AskingQuestionIntent,i don't care about what stuff,
sing a song about,,AskingQuestionIntent,sing a song about,
does it make sense to take,,AskingQuestionIntent,does it make sense to take,
nothing goodbye,,AskingQuestionIntent,nothing goodbye,
speak spanish,,AskingQuestionIntent,speak spanish,
say me the date of,,AskingQuestionIntent,say me the date of,
jonathan,,AskingQuestionIntent,jonathan,
softly,,AskingQuestionIntent,softly,
concrete,,AskingQuestionIntent,concrete,
what is the best iphone,,AskingQuestionIntent,what is the best iphone,
who is,,AskingQuestionIntent,who is,
weather,,AskingQuestionIntent,weather,
what is the longest word in any language,,AskingQuestionIntent,what is the longest word in any language,
skip,,AskingQuestionIntent,skip,
what is the date today,,AskingQuestionIntent,what is the date today,
ok thanks,,AMAZON.YesIntent,,
Jarvis what day is it,,AskingQuestionIntent,Jarvis what day is it,
what is that,,AskingQuestionIntent,what is that,
charms,,AskingQuestionIntent,charms,
what is the capital of the u. k.,,AskingQuestionIntent,what is the capital of the u. k.,
how old is joe biden,,AskingQuestionIntent,how old is joe Biden,
we can try it,,AskingQuestionIntent,we can try it,
close close the app,,AskingQuestionIntent,close close the app,
i want a new girlfriend,,AskingQuestionIntent,i want a new girlfriend,
anti certifications,,AskingQuestionIntent,anti certifications,
in the tv,,AskingQuestionIntent,in the TV,
what's my name,,AskingQuestionIntent,what's my name,
what will be the weather for tomorrow,,AskingQuestionIntent,what will be the weather for tomorrow,
is it easy to file,,AskingQuestionIntent,is it easy to file,
great how big is it,,AskingQuestionIntent,great how big is it,
janice,,AskingQuestionIntent,janice,
is it,,AskingQuestionIntent,is it,
who is the president of the united states,,AskingQuestionIntent,who is the president of the united states,
what is your favorite thing to do,,AskingQuestionIntent,what is your favorite thing to do,
Jarvis Jarvis,,AskingQuestionIntent,Jarvis Jarvis,
main screen,,AMAZON.NavigateHomeIntent,,
standby,,AskingQuestionIntent,standby,
do you know,,AskingQuestionIntent,do you know,
you can stop now,,AskingQuestionIntent,you can stop now,
sorry,,AskingQuestionIntent,sorry,
i feel lonely,,AskingQuestionIntent,i feel lonely,
what's the weather in seattle right now,,AskingQuestionIntent,what's the weather in seattle right now,
why do birds suddenly appear,,AskingQuestionIntent,why do birds suddenly appear,
done,,AskingQuestionIntent,done,
wall street,,AskingQuestionIntent,wall street,
i don't get the joke,,AskingQuestionIntent,i don't get the joke,
chickens,,AskingQuestionIntent,chickens,
how do you grow corn,,AskingQuestionIntent,how do you grow corn,
how do I build a computer,,AskingQuestionIntent,how do I build a computer,
sing me a song,,AskingQuestionIntent,sing me a song,
wake up,,AskingQuestionIntent,wake up,
Jarvis is god real,,AskingQuestionIntent,Jarvis is god real,
Jarvis huawei,,AskingQuestionIntent,Jarvis huawei,
sometimes,,AskingQuestionIntent,sometimes,
okay,,AMAZON.YesIntent,,
search for me on the tv,,AskingQuestionIntent,search for me on the TV,
continue reading my book,,AskingQuestionIntent,continue reading my book,
what's the weather like in kansas city today,,AskingQuestionIntent,what's the weather like in kansas city today,
i love dogs,,AskingQuestionIntent,i love dogs,
official,,AskingQuestionIntent,official,
spotify music,,AskingQuestionIntent,spotify music,
how about that,,AskingQuestionIntent,how about that,
frenzy,,AskingQuestionIntent,frenzy,
border collies,,AskingQuestionIntent,border collies,
how many pages are in lord of the rings,,AskingQuestionIntent,how many pages are in lord of the rings,
what is the date,,AskingQuestionIntent,what is the date,
what is the weather in manila philippines,,AskingQuestionIntent,what is the weather in manila philippines,
why sky is blue,,AskingQuestionIntent,why sky is blue,
i'll tell you later now exit,,ExitAppIntent,,
this,,AskingQuestionIntent,this,
can dogs,,AskingQuestionIntent,can dogs,
draw a triangle,,AskingQuestionIntent,draw a triangle,
fuck off,,AMAZON.StopIntent,,
what is the capital of minnesota,,AskingQuestionIntent,what is the capital of minnesota,
wait a minute,,AskingQuestionIntent,wait a minute,
